dxlev	g2lev	dxtime
0	-64	0
1	-58	6
2		12
3		18
4		22
5		26
6		30
7		34
8		36
9		38
10	-25	39
11		
12	-22	42
13		
14		
15		
16		
17		
18	-16	48
19		
20	-15	49
21		
22		
23		
24		
25		
26		
27		
28		
29		
30	-10	54
31		
32		
33		
34		
35		
36		
37		
38		
39		
40	-5	59
41		
42	-4	60
43		
44	-3	61
45		
46	-2	62
47	-1	
48		
49	-1	63
50	0	64
51	1	65
52	1	65
53	1	65
54	2	66
55	 	
56	3	67
57	 	
58	4	68
59	 	
60	5	69
61	 	
62	 	
63	 	
64	 	
65	 	
66	 	
67	 	
68	 	
69	 	
70	10	74
71	 	
72	 	
73	 	
74	 	
75	 	
76	 	
77	 	
78	 	
79	 	
80	15	79
81	 	
82	16	80
83	 	
84	 	
85	 	
86	 	
87	 	
88	22	86
89	23	87
90	25	89
91	27	91
92	29	93
93	33	97
94	37	101
95	41	105
96	46	109
97	52	115
98	58	121
99	64	127
